customer_id,customer_name,gender,city,state,signup_date,customer_segment
1,Kyle Fischer,Male,Phoenix,Arizona,2026-01-22,VIP
2,Jonathan Green,Male,Phoenix,Arizona,2024-10-18,Premium
3,Michael Clark,Male,Houston,Texas,2023-06-12,Regular
4,Barbara Thompson,Female,San Diego,California,2024-07-21,Regular
5,Stephanie Roth,Female,San Diego,California,2026-01-22,Premium
6,Paula White,Female,San Diego,California,2023-08-12,Premium
7,Anthony Rodriguez,Male,Los Angeles,California,2026-04-12,Premium
8,Darryl Reed,Male,Houston,Texas,2025-04-10,Regular
9,Juan Reeves,Male,New York,New York,2024-02-26,Premium
10,Kristen Miller,Female,San Antonio,Texas,2024-11-09,Regular
11,Michelle Stephenson,Female,New York,New York,2024-07-04,Premium
12,Crystal Reeves,Female,San Jose,California,2025-07-11,Regular
13,Justin Chambers,Male,San Jose,California,2023-06-10,Regular
14,Mr. Keith Foster MD,Male,San Jose,California,2023-06-18,VIP
15,Katelyn Osborne,Female,Dallas,Texas,2025-11-07,Premium
16,Amber Camacho,Female,San Diego,California,2025-08-11,VIP
17,Mark Bennett,Male,Houston,Texas,2026-04-27,Premium
18,Cynthia Cameron,Female,Philadelphia,Pennsylvania,2024-08-17,Premium
19,Stacy Curry,Female,Houston,Texas,2024-03-29,Premium
20,Joshua Williams,Male,San Diego,California,2026-01-21,VIP
21,Carl Johnson,Male,Dallas,Texas,2025-11-09,Premium
22,Danielle Owens,Female,Chicago,Illinois,2024-08-01,Regular
23,Alexis Thomas,Female,Chicago,Illinois,2024-11-08,Premium
24,Brenda Kennedy,Female,Chicago,Illinois,2024-01-04,VIP
25,Douglas Rodriguez,Male,New York,New York,2023-10-19,Regular
26,Ashley Cooper,Female,San Jose,California,2024-10-01,Premium
27,Gary Smith,Male,San Antonio,Texas,2023-09-13,VIP
28,Mr. Anthony Holland MD,Male,San Diego,California,2024-11-16,Regular
29,Stacy Allen,Female,New York,New York,2025-01-10,Regular
30,Anthony Wagner,Male,Chicago,Illinois,2025-07-01,Premium
31,Elizabeth Gaines,Female,San Diego,California,2023-11-13,Regular
32,Keith Lewis,Male,Phoenix,Arizona,2024-03-16,Premium
33,Lisa Anderson,Female,San Jose,California,2025-02-20,VIP
34,Victoria Bryant,Female,Philadelphia,Pennsylvania,2026-04-08,Premium
35,William Bailey,Male,San Jose,California,2023-05-17,Regular
36,Tiffany White,Female,San Antonio,Texas,2023-05-21,VIP
37,Robert Jackson,Male,Houston,Texas,2025-10-02,Regular
38,Nathan Long PhD,Male,Houston,Texas,2026-03-04,VIP
39,Katie Vargas,Female,Dallas,Texas,2023-07-31,Premium
